iter	Passed	Remaining
751	3388	1117
752	3392	1112
753	3397	1108
754	3401	1103
755	3404	1098
756	3409	1094
757	3412	1089
758	3417	1084
759	3420	1080
760	3424	1075
761	3428	1070
762	3432	1066
763	3436	1061
764	3440	1056
765	3444	1052
766	3449	1047
767	3453	1043
768	3457	1038
769	3461	1033
770	3465	1029
771	3469	1024
772	3473	1019
773	3477	1015
774	3480	1010
775	3484	1005
776	3489	1001
777	3493	996
778	3497	992
779	3501	987
780	3505	982
781	3509	978
782	3513	973
783	3517	969
784	3522	964
785	3526	960
786	3530	955
787	3533	950
788	3537	946
789	3541	941
790	3545	936
791	3549	932
792	3553	927
793	3557	922
794	3561	918
795	3565	913
796	3569	909
797	3573	904
798	3576	899
799	3581	895
800	3585	890
801	3589	886
802	3593	881
803	3598	877
804	3602	872
805	3606	868
806	3610	863
807	3614	858
808	3618	854
809	3622	849
810	3626	845
811	3630	840
812	3634	835
813	3638	831
814	3641	826
815	3645	822
816	3649	817
817	3653	812
818	3657	808
819	3661	803
820	3665	799
821	3669	794
822	3673	789
823	3676	785
824	3680	780
825	3684	776
826	3688	771
827	3692	767
828	3696	762
829	3700	757
830	3704	753
831	3708	748
832	3712	744
833	3716	739
834	3721	735
835	3725	730
836	3729	726
837	3733	721
838	3737	717
839	3741	712
840	3745	708
841	3749	703
842	3752	698
843	3756	694
844	3760	689
845	3764	685
846	3768	680
847	3772	676
848	3775	671
849	3779	666
850	3783	662
851	3787	657
852	3791	653
853	3795	648
854	3799	644
855	3803	639
856	3807	635
857	3810	630
858	3814	626
859	3818	621
860	3822	617
861	3826	612
862	3830	608
863	3833	603
864	3838	599
865	3843	594
866	3847	590
867	3851	585
868	3855	581
869	3859	576
870	3863	572
871	3867	567
872	3871	563
873	3875	558
874	3879	554
875	3883	549
876	3887	545
877	3891	540
878	3895	536
879	3899	531
880	3904	527
881	3908	522
882	3912	518
883	3916	513
884	3919	509
885	3923	504
886	3927	500
887	3931	495
888	3935	491
889	3939	486
890	3943	482
891	3948	478
892	3953	473
893	3957	469
894	3961	464
895	3966	460
896	3970	455
897	3975	451
898	3979	447
899	3982	442
900	3986	438
901	3990	433
902	3994	429
903	3998	424
904	4003	420
905	4007	415
906	4011	411
907	4016	406
908	4020	402
909	4024	398
910	4029	393
911	4034	389
